Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Даниленко,Спас,Олександрович,male,1979-11-26,Бухгалтер,місто Вільногірськ,"сквер Коцебу міст, буд. 501, Дружківка, 07266",+380 (73) 494-98-22,demyd01@example.com
Гузій,Богданна,Денисівна,female,2000-01-02,Архітектор,селище Вишневе ,"проспект Костанді 3-й, буд. 3 кв. 598, Великі Мости, 75594",+380 01 383-68-74,roman12@example.net
Абраменко,Кирило,Захарович,male,1980-06-30,Архітектор,село Овруч,"набережна Луценка Івана, буд. 541, Оріхів, 26621",+380 91 594-08-37,boryslavokhrimenko@example.com
Копитко,Охрім,Станіславович,male,2007-07-28,Менеджер з маркетингу,село Коломия,"шосе 7-ма Лінія Дачі Ковалевського, буд. 2 кв. 2, Галич, 19034",+380 42 574 82 64,serhiitarasenko@example.org
Сич,Олена,Назарівна,female,1991-01-29,Асистент керівника,місто Хирів,"площа Інтернаціональний, буд. 26, Хрустальний, 40062",024 834-41-52,viktoriiapelekh@example.com
Засуха,Віра,Петрівна,female,1973-09-24,Аналітик даних,селище Кіцмань,"площа Окружна, буд. 4, Богодухів, 98504",+380 30 295-62-87,dlavrenko@example.com
Михайлюк,Руслан,Остапович,male,1977-02-24,Програміст,хутір Харцизьк,"площа Училищна, буд. 60 кв. 279, Покровськ, 92954",012 580-61-02,kamillahavriushenko@example.net
Фастенко,Герман,Леонідович,male,1993-05-14,Менеджер з маркетингу,місто Переяслав,"вулиця Тарутинська, буд. 62, Пустомити, 51783",685-64-53,otereshchuk@example.net
Ковалюк,Орися,Вікторівна,female,1951-12-02,Тестувальник,селище Ірміно,"шосе Заньковецької, буд. 8, Сміла, 34768",+380 14 495-18-16,boleslavdavymuka@example.org
Баранець,Богданна,Павлівна,female,1956-10-14,Копірайтер,селище Красноперекопськ,"шосе Басейний 6-й, буд. 5 кв. 13, Тячів, 11388",028 978-13-86,xhuzii@example.org
Саєнко,Єлисавета,Олексіївна,female,1959-01-03,PR-менеджер,селище Тернівка ,"проспект Тиха, буд. 67, Деражня, 33209",+380 (39) 556-62-83,semenbandera@example.org
Короленко,Олександр,Петрович,male,1953-10-22,Менеджер з закупівель,місто Лиман ,"проспект Дмитрія Донського, буд. 823 кв. 82, Красноград, 21125",001-52-12,holykiaroslava@example.net
Данько,Пантелеймон,Остапович,male,1941-08-29,Аналітик даних,місто Корсунь-Шевченківський,"парк Льва Толстого, буд. 56, Дубляни, 47291",+380 (26) 909-53-53,ivenhrynovych@example.com
Дробаха,Алевтин,Ярославович,male,1988-02-03,Фінансовий аналітик,селище Запоріжжя,"площа Щоглова, буд. 3 кв. 0, Ватутіне, 83764",082 845 61 84,vyshyvanyifedir@example.org
Стус,Юхим,Євгенович,male,1976-10-11,HR-менеджер,місто Торецьк,"узвіз Краснова, буд. 94 кв. 565, Білгород-Дністровський, 93137",005 489-14-79,oleh00@example.org
Ємець,Володимира,Ігорівна,female,1963-10-21,Менеджер з закупівель,село Дружківка,"узвіз Штурманська, буд. 486 кв. 75, Куп'янськ, 05283",023 251 50 54,marusiaadamenko@example.net
Баранець,Валерій,Максимович,male,2005-08-14,Менеджер з продажу,село Гнівань,"сквер Паустовського, буд. 677, Жовті Води, 96067",662 25 53,olena84@example.org
Байдак,Галина,Сергіївна,female,1976-03-05,Менеджер з продукту,місто Скадовськ,"узвіз Авіаційна, буд. 319 кв. 28, Мар'їнка, 90444",+380 (94) 755-98-36,arsen53@example.com
Дерегус,Ольга,Олександрівна,female,1993-06-29,Фінансовий аналітик,селище Арциз,"вулиця Студентський, буд. 63 кв. 8, Новоазовськ, 54167",+380 86 774-98-30,pavlychenkovioletta@example.net
Гавриленко,Мілена,Марківна,female,1986-09-12,Дизайнер,місто Гола Пристань,"площа Щоглова, буд. 6 кв. 5, Сміла, 54226",090 793 12 76,kmakohon@example.net
Хоменко,Ліза,Кирилівна,female,1985-06-11,Кадровий менеджер,село Біляївка,"провулок Одарія, буд. 761 кв. 501, Христинівка, 23399",+380 80 826-00-45,hfomenko@example.org
Артеменко,Алла,Костянтинівна,female,1965-05-18,Менеджер з продукту,місто Володимир-Волинський,"сквер Якірний, буд. 0, Боково-Хрустальне, 85076",+380 37 380-45-81,lhuzenko@example.com
Литвиненко,Аарон,Денисович,male,1952-01-29,Аналітик даних,селище Помічна,"провулок Лермонтовський, буд. 651 кв. 9, Старокостянтинів, 03573",628 74 06,shtokalozlatoslava@example.org
Кальченко,Сергій,Васильович,male,2004-05-26,Менеджер з закупівель,місто Перечин,"площа Сумський, буд. 80 кв. 44, Херсон, 39418",599 27 61,tarasilchenko@example.com
Ажажа,Мартин,Кирилович,male,1988-11-18,Бухгалтер,хутір Южноукраїнськ,"набережна Паркова, буд. 30 кв. 647, Долинська, 13606",+380 (32) 061-42-45,mazepapanteleimon@example.org
Прокопович,Єва,Ігорівна,female,1949-12-31,PR-менеджер,місто Білопілля,"проспект Кропивницького, буд. 020, Полонне, 27174",029 648-14-93,priska28@example.org
Бабенко,Дарина,Данилівна,female,1991-02-27,Менеджер з продажу,хутір Дніпрорудне,"вулиця Свободи, буд. 31 кв. 7, Сміла, 96327",+380 (16) 996-53-76,hennadii82@example.net
Таран,Надія,Іванівна,female,1994-11-29,Архітектор,село Щастя ,"шосе Мазепи Івана, буд. 219, Черкаси, 59553",045 894-92-89,ielyseiiatsenko@example.com
Шелест,Алевтин,Ярославович,male,1955-05-05,Менеджер з маркетингу,хутір Олешки,"площа Ялинкова, буд. 09, Сквира, 24615",+380 44 916-07-99,edytasyrotenko@example.net
Дурдинець,Пантелеймон,Захарович,male,1940-12-03,Асистент керівника,селище Євпаторія,"узвіз Софіївська, буд. 719, Зіньків, 26910",020 001-42-26,svitlana18@example.net
Данилюк,Аліна,Володимирівна,female,1965-10-09,Менеджер з маркетингу,село Дебальцеве,"площа Лучиста, буд. 999 кв. 224, Берестечко, 70956",399-87-62,shchyrytsiamykyta@example.com
Атаманчук,Христина,Павлівна,female,2000-08-15,Бухгалтер,місто Новоукраїнка,"парк Базарна, буд. 8, Алчевськ, 92764",068 059-55-51,iustymkhudiak@example.org
Удовенко,Христина,Остапівна,female,1949-08-14,Менеджер з маркетингу,місто Шумськ,"сквер Нежданової, буд. 94, Бершадь, 26421",+380 33 840 71 26,solomiiakarmaliuk@example.net
Парасюк,Валерій,Ігорович,male,1963-11-27,Фінансовий аналітик,хутір Херсон,"узвіз Тролейбусна, буд. 04, Володимир-Волинський, 26959",+380 (51) 671-70-37,leopoldovcharenko@example.net
Кириленко,Сніжана,Станіславівна,female,1959-08-22,Системний адміністратор,село Сторожинець,"парк Лінія 51-ша, буд. 8, Кальміуське, 38400",342 34 50,viacheslavkonoplenko@example.com
